Year,Month,State,Suicides,Suicides with guns,Fraction of suicides with guns
2011,11,Alabama,54,40,0.7407407407
2011,12,Alabama,51,33,0.6470588235
2012,1,Alabama,54,31,0.5740740741
2012,2,Alabama,52,32,0.6153846154
2012,3,Alabama,60,47,0.7833333333
2012,4,Alabama,69,43,0.6231884058
2012,5,Alabama,60,42,0.7
2012,6,Alabama,65,41,0.6307692308
2012,7,Alabama,75,45,0.6
2012,8,Alabama,67,48,0.7164179104
2012,9,Alabama,65,49,0.7538461538
2012,10,Alabama,60,48,0.8
2012,11,Alabama,56,47,0.8392857143
2012,12,Alabama,41,27,0.6585365854
2013,1,Alabama,52,35,0.6730769231
2013,2,Alabama,53,40,0.7547169811
2013,3,Alabama,65,41,0.6307692308
2013,4,Alabama,56,37,0.6607142857
2013,5,Alabama,65,42,0.6461538462
2013,6,Alabama,55,40,0.7272727273
2013,7,Alabama,58,40,0.6896551724
2013,8,Alabama,62,40,0.6451612903
2013,9,Alabama,67,54,0.8059701493
2013,10,Alabama,63,47,0.746031746
2013,11,Alabama,63,45,0.7142857143
2013,12,Alabama,61,43,0.7049180328
2014,1,Alabama,54,39,0.7222222222
2014,2,Alabama,58,38,0.6551724138
2014,3,Alabama,67,45,0.671641791
2014,4,Alabama,55,42,0.7636363636
2014,5,Alabama,45,28,0.6222222222
2014,6,Alabama,56,40,0.7142857143
2014,7,Alabama,48,33,0.6875
2014,8,Alabama,67,37,0.552238806
2014,9,Alabama,74,49,0.6621621622
2014,10,Alabama,68,48,0.7058823529
2014,11,Alabama,66,42,0.6363636364
2014,12,Alabama,56,38,0.6785714286
2015,1,Alabama,79,54,0.6835443038
2015,2,Alabama,47,38,0.8085106383
2015,3,Alabama,71,54,0.7605633803
2015,4,Alabama,49,34,0.693877551
2015,5,Alabama,58,31,0.5344827586
2015,6,Alabama,73,42,0.5753424658
2015,7,Alabama,75,54,0.72
2015,8,Alabama,67,53,0.7910447761
2015,9,Alabama,71,46,0.6478873239
2015,10,Alabama,55,44,0.8
2015,11,Alabama,52,41,0.7884615385
2015,12,Alabama,53,37,0.6981132075
2016,1,Alabama,59,42,0.7118644068
2016,2,Alabama,78,48,0.6153846154
2016,3,Alabama,71,56,0.7887323944
2016,4,Alabama,64,44,0.6875
2016,5,Alabama,71,48,0.676056338
2016,6,Alabama,57,44,0.7719298246
2016,7,Alabama,68,45,0.6617647059
2016,8,Alabama,77,49,0.6363636364
2016,9,Alabama,64,45,0.703125
2016,10,Alabama,65,44,0.6769230769
2016,11,Alabama,57,45,0.7894736842
2016,12,Alabama,57,40,0.701754386
2017,1,Alabama,79,54,0.6835443038
2017,2,Alabama,59,39,0.6610169492
2017,3,Alabama,73,59,0.8082191781
2017,4,Alabama,72,54,0.75
2017,5,Alabama,79,51,0.6455696203
2017,6,Alabama,82,56,0.6829268293
2017,7,Alabama,74,43,0.5810810811
2017,8,Alabama,71,48,0.676056338
2017,9,Alabama,71,47,0.661971831
2017,10,Alabama,57,41,0.7192982456
2017,11,Alabama,70,48,0.6857142857
2017,12,Alabama,48,33,0.6875
2018,1,Alabama,75,49,0.6533333333
2018,2,Alabama,68,43,0.6323529412
2018,3,Alabama,77,62,0.8051948052
2018,4,Alabama,46,28,0.6086956522
2018,5,Alabama,73,49,0.6712328767
2018,6,Alabama,73,48,0.6575342466
2018,7,Alabama,82,55,0.6707317073
2018,8,Alabama,78,54,0.6923076923
2018,9,Alabama,56,32,0.5714285714
2018,10,Alabama,56,37,0.6607142857
2018,11,Alabama,66,46,0.696969697
2018,12,Alabama,73,49,0.6712328767
2019,1,Alabama,65,43,0.6615384615
