Year,Month,Day,USA
2000,11,7,"28,766"
2000,11,8,"30,054"
2000,11,9,"36,214"
2000,11,10,"40,176"
2000,11,11,"36,375"
2000,11,12,"13,642"
2000,11,13,"29,968"
2000,11,14,"29,755"
2000,11,15,"28,178"
2000,11,16,"34,912"
2000,11,17,"42,290"
2000,11,18,"36,427"
2000,11,19,"13,745"
2000,11,20,"29,058"
2000,11,21,"31,010"
2000,11,22,"37,659"
2000,11,23,"3,095"
2000,11,24,"45,839"
2000,11,25,"33,684"
2000,11,26,"12,619"
2000,11,27,"26,670"
2000,11,28,"26,570"
2000,11,29,"27,119"
2000,11,30,"31,086"
2000,12,1,"43,122"
2000,12,2,"38,928"
2000,12,3,"14,449"
2000,12,4,"29,566"
2000,12,5,"29,312"
2000,12,6,"28,033"
2000,12,7,"33,933"
2000,12,8,"39,181"
2000,12,9,"37,163"
2000,12,10,"16,279"
2000,12,11,"36,213"
2000,12,12,"32,401"
2000,12,13,"30,581"
2000,12,14,"35,330"
2000,12,15,"49,179"
2000,12,16,"51,016"
2000,12,17,"18,748"
2000,12,18,"39,635"
2000,12,19,"40,177"
2000,12,20,"42,835"
2000,12,21,"47,051"
2000,12,22,"17,247"
2000,12,23,"74,891"
2000,12,24,"19,203"
2000,12,25,0
2000,12,26,"30,535"
2000,12,27,"27,214"
2000,12,28,"28,157"
2000,12,29,"33,788"
2000,12,30,"26,306"
2000,12,31,"10,489"
2001,1,1,"3,913"
2001,1,2,"23,887"
2001,1,3,"24,048"
2001,1,4,"22,992"
2001,1,5,"25,723"
2001,1,6,"25,736"
2001,1,7,"9,001"
2001,1,8,"20,183"
2001,1,9,"21,577"
2001,1,10,"21,231"
2001,1,11,"21,520"
2001,1,12,"25,971"
2001,1,13,"25,568"
2001,1,14,"8,395"
2001,1,15,"14,988"
2001,1,16,"20,980"
2001,1,17,"21,856"
2001,1,18,"22,477"
2001,1,19,"27,422"
2001,1,20,"27,230"
2001,1,21,"8,263"
2001,1,22,"20,612"
2001,1,23,"20,670"
2001,1,24,"17,875"
2001,1,25,"22,352"
2001,1,26,"29,105"
2001,1,27,"29,717"
2001,1,28,"8,021"
2001,1,29,"22,682"
2001,1,30,"23,141"
2001,1,31,"23,392"
2001,2,1,"28,875"
2001,2,2,"33,051"
2001,2,3,"32,955"
2001,2,4,"10,437"
2001,2,5,"24,495"
2001,2,6,"21,680"
2001,2,7,"24,425"
2001,2,8,"25,677"
2001,2,9,"31,388"
2001,2,10,"33,052"
2001,2,11,"11,495"
2001,2,12,"23,960"
2001,2,13,"24,112"
2001,2,14,"21,170"
2001,2,15,"27,543"
2001,2,16,"33,169"
2001,2,17,"32,374"
2001,2,18,"9,951"
2001,2,19,"18,011"
2001,2,20,"23,754"
2001,2,21,"22,858"
2001,2,22,"24,265"
2001,2,23,"29,732"
2001,2,24,"30,030"
2001,2,25,"8,787"
2001,2,26,"23,351"
2001,2,27,"22,112"
2001,2,28,"22,447"
2001,3,1,"27,782"
2001,3,2,"32,873"
2001,3,3,"34,074"
2001,3,4,"10,435"
2001,3,5,"22,873"
2001,3,6,"22,378"
2001,3,7,"21,266"
2001,3,8,"24,688"
2001,3,9,"28,515"
2001,3,10,"28,084"
2001,3,11,"9,343"
2001,3,12,"23,566"
2001,3,13,"22,545"
2001,3,14,"21,644"
2001,3,15,"24,941"
2001,3,16,"29,029"
2001,3,17,"29,399"
2001,3,18,"10,554"
2001,3,19,"23,353"
2001,3,20,"22,380"
2001,3,21,"20,650"
2001,3,22,"24,037"
2001,3,23,"27,744"
2001,3,24,"28,451"
2001,3,25,"10,105"
2001,3,26,"22,636"
2001,3,27,"21,249"
2001,3,28,"21,924"
2001,3,29,"23,797"
2001,3,30,"30,618"
2001,3,31,"28,599"
2001,4,1,"8,619"
2001,4,2,"21,600"
2001,4,3,"23,552"
2001,4,4,"22,740"
2001,4,5,"23,550"
2001,4,6,"26,035"
2001,4,7,"24,981"
2001,4,8,"8,256"
2001,4,9,"20,827"
2001,4,10,"21,232"
2001,4,11,"21,902"
2001,4,12,"24,599"
2001,4,13,"26,035"
2001,4,14,"20,874"
2001,4,15,"2,347"
2001,4,16,"20,959"
2001,4,17,"22,158"
2001,4,18,"20,361"
2001,4,19,"21,078"
2001,4,20,"26,758"
2001,4,21,"23,168"
2001,4,22,"8,138"
2001,4,23,"20,941"
2001,4,24,"21,314"
2001,4,25,"19,924"
2001,4,26,"21,965"
2001,4,27,"24,126"
2001,4,28,"20,802"
2001,4,29,"6,486"
2001,4,30,"19,396"
2001,5,1,"23,276"
2001,5,2,"19,131"
2001,5,3,"22,040"
2001,5,4,"23,933"
2001,5,5,"20,339"
2001,5,6,"7,307"
2001,5,7,"20,243"
2001,5,8,"18,757"
2001,5,9,"18,290"
2001,5,10,"20,016"
2001,5,11,"21,746"
2001,5,12,"17,790"
2001,5,13,"5,258"
2001,5,14,"19,401"
2001,5,15,"20,016"
2001,5,16,"18,859"
2001,5,17,"19,127"
2001,5,18,"21,008"
2001,5,19,"18,727"
2001,5,20,"6,025"
2001,5,21,"20,979"
2001,5,22,"18,964"
2001,5,23,"17,420"
2001,5,24,"19,237"
2001,5,25,"22,690"
2001,5,26,"17,279"
2001,5,27,"5,304"
2001,5,28,"4,511"
2001,5,29,"18,529"
2001,5,30,"17,307"
2001,5,31,"19,992"
2001,6,1,"26,777"
2001,6,2,"21,552"
2001,6,3,"6,675"
2001,6,4,"19,910"
2001,6,5,"18,852"
2001,6,6,"18,914"
2001,6,7,"20,445"
2001,6,8,"23,223"
2001,6,9,"18,599"
2001,6,10,"5,964"
2001,6,11,"19,063"
2001,6,12,"16,128"
2001,6,13,"21,312"
2001,6,14,"20,314"
2001,6,15,"24,037"
2001,6,16,"21,128"
2001,6,17,"6,258"
2001,6,18,"17,708"
2001,6,19,"17,960"
2001,6,20,"16,878"
2001,6,21,"18,425"
2001,6,22,"22,218"
2001,6,23,"18,282"
2001,6,24,"5,848"
2001,6,25,"17,156"
2001,6,26,"17,331"
2001,6,27,"16,191"
2001,6,28,"18,391"
2001,6,29,"24,921"
2001,6,30,"20,031"
2001,7,1,"5,742"
2001,7,2,"19,608"
2001,7,3,"21,104"
2001,7,4,"3,849"
2001,7,5,"20,857"
2001,7,6,"21,958"
2001,7,7,"17,508"
2001,7,8,"5,589"
2001,7,9,"18,513"
2001,7,10,"18,552"
2001,7,11,"18,574"
2001,7,12,"19,877"
2001,7,13,"23,192"
2001,7,14,"18,538"
2001,7,15,"6,197"
2001,7,16,"18,966"
2001,7,17,"16,381"
2001,7,18,"20,264"
2001,7,19,"21,605"
2001,7,20,"23,993"
2001,7,21,"19,372"
2001,7,22,"7,149"
2001,7,23,"20,253"
2001,7,24,"19,539"
2001,7,25,"18,567"
2001,7,26,"21,060"
2001,7,27,"24,742"
